173,Re-Creation,33.96238109,131.285619
174,リンゴをもつ少年,33.95604,131.249556
175,立方体,33.93290738,131.2727648
176,隆層,33.95739912,131.2824829
177,連山夢想-きらめく,33.96188141,131.2856179
178,Locus of Time Ⅲ,33.93618757,131.2767076
179,ロッキング・ドール,33.94775024,131.2869887
180,ロンド,33.95545101,131.244742
181,わく,33.94628442,131.2849676
182,若きカフカス人,33.948193,131.28838
183,若人たち,33.94680449,131.2716252
184,渡辺祐策翁像,33.95791681,131.2458755
185,若人,33.948159,131.288381
186,COLUMNS OF THE THOUGHT 2007,33.95543166,131.2494024
187,Gravitation,33.95524994,131.2379743
188,Watching the Watchers,33.9479693,131.2837487
189,PERMUTATION,33.94903912,131.2831656
190,立つ人-宇部,33.94878045,131.282896
191,共生,33.9567495,131.248895
192,道標・鴉,33.94855834,131.2820371
193,空を行く2005,33.959693,131.250588
194,森,33.94724487,131.2839717
195,そりのあるかたち,33.9478986,131.2519473
196,王と王妃,33.950233,131.247474
197,水ありて時ながれ,33.94781903,131.2876979
198,Self-consciousness,33.94908366,131.2833083
199,Gravitation,33.93298972,131.2743714
200,台地の日月,33.93558896,131.2779093
201,歩行視のためのオブジェ,33.9478881,131.2882463
202,block,33.95101198,131.2456979
203,道標・鳩,33.93335,131.274316
204,UNITY OF OPPOSITES,33.94914837,131.283334
205,みんなの楽しみ,33.9454083,131.2690244
206,深夜バス,33.94790534,131.282775
207,REDEFINED SPACE,33.94871165,131.282745
208,道標・鳩,33.955998,131.249413
209,土の城,33.95082612,131.2816891
210,温羅,33.94636635,131.2831113
211,THE MAN,33.95127417,131.2458031
212,森に棲む 2010-5,34.04514976,131.2241933
213,The Forest of Mirrors,34.04478527,131.2238231
214,Storage of celestial mechanics,33.947833,131.282989
215,Our Love,33.948582,131.282338
216,Sin,33.948282,131.282815
